Country,Year,Reported cholera cases,PopulationDensity,TAVG_temperature,Precipitation
Burundi,1993,78,222.5021028,23.38833333,80.37833333
Burundi,1994,562,236.2272586,23.29212963,74.92342593
Burundi,1995,2297,236.3904206,23.75805556,74.56638889
Burundi,1996,418,236.372352,23.36018519,86.98759259
Burundi,1997,1959,240.9309969,23.57833333,94.49027778
Burundi,1998,1067,246.7739486,23.88296296,83.43685185
Burundi,1999,3440,251.954595,23.40703704,83.91787037
Burundi,2000,1021,258.3475467,23.37611111,84.14064815
Burundi,2001,1003,265.7372274,23.48305556,87.54240741
Burundi,2002,577,274.2661215,23.84537037,72.55259259
Burundi,2003,432,284.682866,23.8787037,72.5962963
Burundi,2004,819,295.4555685,23.66972222,80.67287037
Burundi,2005,1309,306.290771,24.23324074,73.07935185
Burundi,2006,886,317.8299844,23.74194444,82.7837037
Burundi,2007,365,331.2163941,23.71259259,80.44555556
Burundi,2008,234,348.4285826,23.65074074,78.5487963
Burundi,2009,355,365.126324,23.83944444,74.44675926
Burundi,2010,333,378.4259346,24.13194444,84.9787963
Burundi,2011,1072,392.1739875,23.73277778,81.28342593
Burundi,2012,214,406.5163941,23.77425926,79.82916667
Burundi,2013,1557,420.5523754,23.84425926,76.60814815
Burundi,2014,582,430.2017134,23.80231481,79.83768519
Burundi,2015,442,437.6733255,24.24583333,65.17462963
Burundi,2016,434,448.0826324,24.33101852,72.93916667
Burundi,2017,399,461.816433,23.91518519,79.51759259
Burundi,2018,92,477.2327103,23.89777778,78.24564815
Burundi,2019,1145,491.3176012,24.21425926,82.98768519
Burundi,2020,277,504.8863318,23.90027778,82.17055556
Burundi,2021,11,518.7343069,23.84814815,77.10583333
Ethiopia,2004,16,69.43778477,23.66972222,80.67287037
Ethiopia,2005,0,71.50677486,24.23324074,73.07935185
Ethiopia,2006,54070,73.63186221,23.74194444,82.7837037
Ethiopia,2007,24121,75.79839696,23.71259259,80.44555556
Ethiopia,2008,3862,77.98026314,23.65074074,78.5487963
Ethiopia,2009,31509,80.22403021,23.83944444,74.44675926
Ethiopia,2010,1682,82.53767959,24.13194444,84.9787963
Ethiopia,2019,2615,105.3700909,24.21425926,82.98768519
Ethiopia,2020,12226,108.2240681,23.90027778,82.17055556
Ethiopia,2021,674,111.100004,23.84814815,77.10583333
Lesotho,2005,0,64.06663373,24.23324074,73.07935185
Lesotho,2006,0,64.33689065,23.74194444,82.7837037
Mozambique,1993,19803,19.11779674,23.38833333,80.37833333
Mozambique,1994,692,20.2962054,23.29212963,74.92342593
Mozambique,1996,0,21.55444187,23.36018519,86.98759259
Mozambique,1997,8739,22.05099825,23.57833333,94.49027778
Mozambique,1998,42672,22.55208169,23.88296296,83.43685185
Mozambique,1999,44329,23.05457031,23.40703704,83.91787037
Mozambique,2000,17649,23.57350009,23.37611111,84.14064815
Mozambique,2001,8794,24.10836746,23.48305556,87.54240741
Mozambique,2002,24375,24.6604377,23.84537037,72.55259259
Mozambique,2003,13758,25.22993082,23.8787037,72.5962963
Mozambique,2004,20080,25.82030189,23.66972222,80.67287037
Mozambique,2005,2226,26.43389583,24.23324074,73.07935185
Mozambique,2006,6306,27.07041761,23.74194444,82.7837037
Mozambique,2007,2622,27.74617361,23.71259259,80.44555556
Mozambique,2008,9087,28.47445891,23.65074074,78.5487963
Mozambique,2009,19679,29.24697347,23.83944444,74.44675926
Mozambique,2010,7430,30.07329663,24.13194444,84.9787963
Mozambique,2011,1279,30.94921794,23.73277778,81.28342593
Mozambique,2012,647,31.85687708,23.77425926,79.82916667
Mozambique,2013,1869,32.79391007,23.84425926,76.60814815
Mozambique,2014,480,33.75921565,23.80231481,79.83768519
Mozambique,2015,8739,34.76322516,24.24583333,65.17462963
Mozambique,2016,883,35.81778911,24.33101852,72.93916667
Mozambique,2017,5892,36.90155396,23.91518519,79.51759259
Mozambique,2018,910,38.002467,23.89777778,78.24564815
Mozambique,2019,7010,39.14607187,24.21425926,82.98768519
Mozambique,2020,3787,40.32121875,23.90027778,82.17055556
Mozambique,2021,5072,41.52730995,23.84814815,77.10583333
